Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,0682139E+000	-4,9980664E+004	0,000000000000000E+000	0,000000000000000E+000	2,3762060E+001
0	3,000000142492354E+001	0,000000000000000E+000	2,9953504E+000	-4,9999773E+004	0,000000000000000E+000	4,166940962630208E+002	2,4552607E+001
0	6,000000284984708E+001	0,000000000000000E+000	2,9723885E+000	-5,0005688E+004	0,000000000000000E+000	8,333862444726562E+002	2,5256191E+001
0	9,000000427477062E+001	0,000000000000000E+000	2,9524198E+000	-5,0005883E+004	0,000000000000000E+000	1,250076957239583E+003	2,6307621E+001
0	1,200000056996942E+002	0,000000000000000E+000	2,9317031E+000	-5,0009824E+004	0,000000000000000E+000	1,666767228606771E+003	2,6734518E+001
0	1,500000071246177E+002	0,000000000000000E+000	2,9096470E+000	-4,9991105E+004	0,000000000000000E+000	2,083456357426215E+003	2,6845196E+001
0	1,800000085495412E+002	0,000000000000000E+000	2,8845978E+000	-4,9991105E+004	0,000000000000000E+000	2,500145964854601E+003	2,7153505E+001
0	2,100000099744648E+002	0,000000000000000E+000	2,8569882E+000	-4,9999379E+004	0,000000000000000E+000	2,916835269103733E+003	2,7517160E+001
0	2,400000113993883E+002	0,000000000000000E+000	2,8257947E+000	-5,0001551E+004	0,000000000000000E+000	3,333523953172743E+003	2,7469727E+001
0	2,700000128243119E+002	0,000000000000000E+000	2,7888904E+000	-5,0007262E+004	0,000000000000000E+000	3,750212896796875E+003	2,7485537E+001
0	3,000000142492354E+002	0,000000000000000E+000	2,7446601E+000	-5,0003320E+004	0,000000000000000E+000	4,166902579908854E+003	2,7683174E+001
0	3,300000156741589E+002	0,000000000000000E+000	2,6906624E+000	-4,9998395E+004	0,000000000000000E+000	4,583592421343315E+003	2,8086355E+001
0	3,600000170990825E+002	0,000000000000000E+000	2,6197288E+000	-5,0007852E+004	0,000000000000000E+000	5,000282246851128E+003	2,8189125E+001
0	3,900000185240060E+002	0,000000000000000E+000	2,5153172E+000	-5,0014152E+004	0,000000000000000E+000	5,416972839813368E+003	2,8212841E+001
0	3,932760186796077E+002	0,000000000000000E+000	2,4998779E+000	-5,0022234E+004	0,000000000000000E+000	5,462475488038194E+003	2,8125881E+001
0	3,932780186797027E+002	0,000000000000000E+000	2,4999962E+000	-5,0013762E+004	0,000000000000000E+000	5,462503273461371E+003	2,8220745E+001
1	3,932800186797976E+002	1,000000000000000E+000	2,6896384E+000	2,9934625E+004	1,663034722222222E-002	0,000000000000000E+000	2,8031015E+001
1	4,232800201047212E+002	1,000000000000000E+000	2,9062204E+000	2,9997469E+004	2,499896544466146E+002	0,000000000000000E+000	2,7983582E+001
