Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,3091190E+000	9,9984912E+003	0,000000000000000E+000	0,000000000000000E+000	2,4257376E+001
0	3,000000142492354E+001	0,000000000000000E+000	3,3229446E+000	1,0001644E+004	8,333786342285157E+001	0,000000000000000E+000	2,4707924E+001
0	6,000000284984708E+001	0,000000000000000E+000	3,3284984E+000	1,0000067E+004	1,666756146516927E+002	0,000000000000000E+000	2,5134760E+001
0	9,000000427477062E+001	0,000000000000000E+000	3,3322797E+000	1,0001840E+004	2,500135931401910E+002	0,000000000000000E+000	2,5727585E+001
0	1,200000056996942E+002	0,000000000000000E+000	3,3350370E+000	1,0002233E+004	3,333515749452040E+002	0,000000000000000E+000	2,6186037E+001
0	1,500000071246177E+002	0,000000000000000E+000	3,3375185E+000	9,9986885E+003	4,166893899793837E+002	0,000000000000000E+000	2,6391550E+001
0	1,800000085495412E+002	0,000000000000000E+000	3,3394091E+000	1,0000461E+004	5,000271719905599E+002	0,000000000000000E+000	2,6438974E+001
0	2,100000099744648E+002	0,000000000000000E+000	3,3411028E+000	1,0000657E+004	5,833648927593316E+002	0,000000000000000E+000	2,6494305E+001
0	2,400000113993883E+002	0,000000000000000E+000	3,3422847E+000	1,0000855E+004	6,667028891720920E+002	0,000000000000000E+000	2,6604967E+001
0	2,700000128243119E+002	0,000000000000000E+000	3,3436239E+000	9,9984912E+003	7,500407297249349E+002	0,000000000000000E+000	2,6525923E+001
0	3,000000142492354E+002	0,000000000000000E+000	3,3445299E+000	1,0001644E+004	8,333788458924696E+002	0,000000000000000E+000	2,6565443E+001
0	3,300000156741589E+002	0,000000000000000E+000	3,3455145E+000	1,0000067E+004	9,167171147748480E+002	0,000000000000000E+000	2,6644487E+001
0	3,600000170990825E+002	0,000000000000000E+000	3,3461840E+000	1,0001644E+004	1,000055444869249E+003	0,000000000000000E+000	2,6644487E+001
0	3,900000185240060E+002	0,000000000000000E+000	3,3466961E+000	9,9996738E+003	1,083393665398220E+003	0,000000000000000E+000	2,6763054E+001
0	4,200000199489295E+002	0,000000000000000E+000	3,3471689E+000	9,9998711E+003	1,166731904642470E+003	0,000000000000000E+000	2,6794672E+001
0	4,500000213738531E+002	0,000000000000000E+000	3,3476415E+000	9,9988857E+003	1,250070212087131E+003	0,000000000000000E+000	2,6589157E+001
0	4,800000227987766E+002	0,000000000000000E+000	3,3480353E+000	1,0000461E+004	1,333408430704753E+003	0,000000000000000E+000	2,6620775E+001
0	5,100000242237002E+002	0,000000000000000E+000	3,3481929E+000	1,0002825E+004	1,416746718706597E+003	0,000000000000000E+000	2,6502209E+001
0	5,400000256486237E+002	0,000000000000000E+000	3,3483899E+000	1,0001249E+004	1,500085080585395E+003	0,000000000000000E+000	2,6494305E+001
0	5,700000270735472E+002	0,000000000000000E+000	3,3485081E+000	9,9990830E+003	1,583423387809787E+003	0,000000000000000E+000	2,6581253E+001
0	6,000000284984708E+002	0,000000000000000E+000	3,3489020E+000	1,0001052E+004	1,666761832841254E+003	0,000000000000000E+000	2,6770958E+001
