Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,3084302E+000	1,0000180E+004	0,000000000000000E+000	0,000000000000000E+000	2,3986643E+001
0	3,000000142492354E+001	0,000000000000000E+000	3,3219411E+000	1,0000771E+004	8,333640940700955E+001	0,000000000000000E+000	2,4642775E+001
0	6,000000284984708E+001	0,000000000000000E+000	3,3275740E+000	1,0000180E+004	1,666731680767144E+002	0,000000000000000E+000	2,5101276E+001
0	9,000000427477062E+001	0,000000000000000E+000	3,3315132E+000	9,9988008E+003	2,500097618945313E+002	0,000000000000000E+000	2,5370054E+001
0	1,200000056996942E+002	0,000000000000000E+000	3,3345070E+000	1,0000180E+004	3,333466264567057E+002	0,000000000000000E+000	2,5741596E+001
0	1,500000071246177E+002	0,000000000000000E+000	3,3369098E+000	1,0001164E+004	4,166836810606554E+002	0,000000000000000E+000	2,5852270E+001
0	1,800000085495412E+002	0,000000000000000E+000	3,3389580E+000	9,9986035E+003	5,000208702408854E+002	0,000000000000000E+000	2,6034092E+001
0	2,100000099744648E+002	0,000000000000000E+000	3,3405337E+000	9,9989971E+003	5,833581704964192E+002	0,000000000000000E+000	2,6081522E+001
0	2,400000113993883E+002	0,000000000000000E+000	3,3419518E+000	1,0001952E+004	6,666959508691406E+002	0,000000000000000E+000	2,6105240E+001
0	2,700000128243119E+002	0,000000000000000E+000	3,3431334E+000	1,0000771E+004	7,500336234212239E+002	0,000000000000000E+000	2,6121050E+001
0	3,000000142492354E+002	0,000000000000000E+000	3,3441184E+000	1,0000771E+004	8,333714295388454E+002	0,000000000000000E+000	2,5891798E+001
0	3,300000156741589E+002	0,000000000000000E+000	3,3449061E+000	1,0000180E+004	9,167093804530164E+002	0,000000000000000E+000	2,5860178E+001
0	3,600000170990825E+002	0,000000000000000E+000	3,3454969E+000	9,9991953E+003	1,000047561386719E+003	0,000000000000000E+000	2,6374014E+001
0	3,900000185240060E+002	0,000000000000000E+000	3,3460877E+000	1,0001559E+004	1,083385792625868E+003	0,000000000000000E+000	2,6271248E+001
0	4,200000199489295E+002	0,000000000000000E+000	3,3464818E+000	1,0000771E+004	1,166724112981771E+003	0,000000000000000E+000	2,6160574E+001
0	4,500000213738531E+002	0,000000000000000E+000	3,3468363E+000	1,0001952E+004	1,250062726152886E+003	0,000000000000000E+000	2,6279154E+001
0	4,800000227987766E+002	0,000000000000000E+000	3,3471513E+000	1,0000771E+004	1,333401630588650E+003	0,000000000000000E+000	2,6326584E+001
0	5,100000242237002E+002	0,000000000000000E+000	3,3473482E+000	1,0000771E+004	1,416740671258680E+003	0,000000000000000E+000	2,6326584E+001
0	5,400000256486237E+002	0,000000000000000E+000	3,3473878E+000	1,0001164E+004	1,500079452371419E+003	0,000000000000000E+000	2,6310774E+001
0	5,700000270735472E+002	0,000000000000000E+000	3,3476241E+000	1,0001559E+004	1,583418490729166E+003	0,000000000000000E+000	2,6097332E+001
0	6,000000284984708E+002	0,000000000000000E+000	3,3476634E+000	9,9986035E+003	1,666757459168836E+003	0,000000000000000E+000	2,6105240E+001
0	6,300000299233943E+002	0,000000000000000E+000	3,3478603E+000	1,0000573E+004	1,750096835269097E+003	0,000000000000000E+000	2,6223816E+001
