Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,2196126E+000	-4,9996426E+004	0,000000000000000E+000	0,000000000000000E+000	2,3880642E+001
0	3,000000142492354E+001	0,000000000000000E+000	3,1730587E+000	-5,0002137E+004	0,000000000000000E+000	4,166936076063368E+002	2,4426119E+001
0	6,000000284984708E+001	0,000000000000000E+000	3,1648271E+000	-5,0011004E+004	0,000000000000000E+000	8,333845038758681E+002	2,5090178E+001
0	9,000000427477062E+001	0,000000000000000E+000	3,1628578E+000	-4,9999773E+004	0,000000000000000E+000	1,250074141223958E+003	2,5730522E+001
0	1,200000056996942E+002	0,000000000000000E+000	3,1628184E+000	-5,0002926E+004	0,000000000000000E+000	1,666763108734809E+003	2,6497351E+001
0	1,500000071246177E+002	0,000000000000000E+000	3,1634879E+000	-4,9998984E+004	0,000000000000000E+000	2,083449666102430E+003	2,6489449E+001
0	1,800000085495412E+002	0,000000000000000E+000	3,1633303E+000	-5,0004305E+004	0,000000000000000E+000	2,500136286859809E+003	2,7027020E+001
0	2,100000099744648E+002	0,000000000000000E+000	3,1634486E+000	-4,9998199E+004	0,000000000000000E+000	2,916822757478299E+003	2,7169319E+001
0	2,400000113993883E+002	0,000000000000000E+000	3,1637242E+000	-4,9998203E+004	0,000000000000000E+000	3,333509191486545E+003	2,7019115E+001
0	2,700000128243119E+002	0,000000000000000E+000	3,1640000E+000	-5,0006277E+004	0,000000000000000E+000	3,750194958632813E+003	2,7248373E+001
0	3,000000142492354E+002	0,000000000000000E+000	3,1639211E+000	-4,9998988E+004	0,000000000000000E+000	4,166881385360243E+003	2,7446011E+001
0	3,300000156741589E+002	0,000000000000000E+000	3,1641574E+000	-5,0000758E+004	0,000000000000000E+000	4,583568230744358E+003	2,7248373E+001
0	3,600000170990825E+002	0,000000000000000E+000	3,1642756E+000	-5,0003914E+004	0,000000000000000E+000	5,000253945431858E+003	2,7477633E+001
0	3,900000185240060E+002	0,000000000000000E+000	3,1640000E+000	-4,9999184E+004	0,000000000000000E+000	5,416939914060330E+003	2,7477633E+001
0	4,200000199489295E+002	0,000000000000000E+000	3,1639211E+000	-5,0000168E+004	0,000000000000000E+000	5,833625754127605E+003	2,7532970E+001
0	4,500000213738531E+002	0,000000000000000E+000	3,1641181E+000	-5,0009820E+004	0,000000000000000E+000	6,250311776888021E+003	2,7619930E+001
0	4,800000227987766E+002	0,000000000000000E+000	3,1641970E+000	-5,0004898E+004	0,000000000000000E+000	6,666997557810330E+003	2,7691080E+001
0	5,100000242237002E+002	0,000000000000000E+000	3,1642363E+000	-5,0006871E+004	0,000000000000000E+000	7,083682806141494E+003	2,7730608E+001
0	5,400000256486237E+002	0,000000000000000E+000	3,1641574E+000	-5,0004699E+004	0,000000000000000E+000	7,500368001191407E+003	2,7793850E+001
0	5,700000270735472E+002	0,000000000000000E+000	3,1639605E+000	-4,9999973E+004	0,000000000000000E+000	7,917053268350694E+003	2,8094257E+001
0	6,000000284984708E+002	0,000000000000000E+000	3,1633697E+000	-5,0004305E+004	0,000000000000000E+000	8,333738528240017E+003	2,7801758E+001
0	6,300000299233943E+002	0,000000000000000E+000	3,1638818E+000	-4,9989137E+004	0,000000000000000E+000	8,750421684835070E+003	2,7936148E+001
0	6,600000313483179E+002	0,000000000000000E+000	3,1628578E+000	-5,0004699E+004	0,000000000000000E+000	9,167106572708333E+003	2,7762228E+001
0	6,900000327732414E+002	0,000000000000000E+000	3,1629760E+000	-5,0000957E+004	0,000000000000000E+000	9,583790367081163E+003	2,8015203E+001
0	7,200000341981649E+002	0,000000000000000E+000	3,1627791E+000	-5,0008445E+004	0,000000000000000E+000	1,000047393285807E+004	2,7896622E+001
0	7,500000356230885E+002	0,000000000000000E+000	3,1621094E+000	-5,0011793E+004	0,000000000000000E+000	1,041715800494358E+004	2,8236559E+001
0	7,800000370480120E+002	0,000000000000000E+000	3,1621883E+000	-4,9999973E+004	0,000000000000000E+000	1,083384101259983E+004	2,8046825E+001
0	8,100000384729356E+002	0,000000000000000E+000	3,1616762E+000	-4,9997215E+004	0,000000000000000E+000	1,125052337781250E+004	2,8125881E+001
0	8,400000398978591E+002	0,000000000000000E+000	3,1618731E+000	-4,9997016E+004	0,000000000000000E+000	1,166720560974609E+004	2,7967772E+001
0	8,700000413227826E+002	0,000000000000000E+000	3,1614792E+000	-5,0010414E+004	0,000000000000000E+000	1,208388795259765E+004	2,8434195E+001
0	9,000000427477062E+002	0,000000000000000E+000	3,1610854E+000	-5,0002141E+004	0,000000000000000E+000	1,250056986975043E+004	2,8331423E+001
0	9,300000441726297E+002	0,000000000000000E+000	3,1610460E+000	-5,0003125E+004	0,000000000000000E+000	1,291725074881293E+004	2,8299801E+001
0	9,600000455975533E+002	0,000000000000000E+000	3,1604159E+000	-5,0006277E+004	0,000000000000000E+000	1,333393162286241E+004	2,8291895E+001
0	9,900000470224768E+002	0,000000000000000E+000	3,1599827E+000	-4,9999383E+004	0,000000000000000E+000	1,375061288795790E+004	2,8181219E+001
0	1,020000048447400E+003	0,000000000000000E+000	3,1596282E+000	-5,0008645E+004	0,000000000000000E+000	1,416729375019097E+004	2,8086355E+001
0	1,050000049872324E+003	0,000000000000000E+000	3,1594312E+000	-5,0006473E+004	0,000000000000000E+000	1,458397289855035E+004	2,8157501E+001
0	1,080000051297247E+003	0,000000000000000E+000	3,1589191E+000	-5,0000563E+004	0,000000000000000E+000	1,500065319552517E+004	2,8394665E+001
0	1,110000052722171E+003	0,000000000000000E+000	3,1588011E+000	-4,9999973E+004	0,000000000000000E+000	1,541733291022786E+004	2,8378855E+001
0	1,140000054147094E+003	0,000000000000000E+000	3,1581709E+000	-5,0006281E+004	0,000000000000000E+000	1,583401259133029E+004	2,8434195E+001
0	1,170000055572018E+003	0,000000000000000E+000	3,1576982E+000	-5,0000168E+004	0,000000000000000E+000	1,625069148397135E+004	2,8212841E+001
0	1,200000056996942E+003	0,000000000000000E+000	3,1571469E+000	-4,9999184E+004	0,000000000000000E+000	1,666737027973307E+004	2,8181219E+001
0	1,230000058421865E+003	0,000000000000000E+000	3,1569500E+000	-5,0007656E+004	0,000000000000000E+000	1,708404946657769E+004	2,8189125E+001
0	1,260000059846789E+003	0,000000000000000E+000	3,1566741E+000	-4,9996621E+004	0,000000000000000E+000	1,750072835095703E+004	2,8457912E+001
0	1,290000061271712E+003	0,000000000000000E+000	3,1558864E+000	-5,0003129E+004	0,000000000000000E+000	1,791740733049045E+004	2,8402573E+001
0	1,320000062696636E+003	0,000000000000000E+000	3,1559653E+000	-4,9996426E+004	0,000000000000000E+000	1,833408534843750E+004	2,8442099E+001
0	1,350000064121559E+003	0,000000000000000E+000	3,1549017E+000	-4,9999383E+004	0,000000000000000E+000	1,875076326319010E+004	2,8829466E+001
0	1,380000065546483E+003	0,000000000000000E+000	3,1546261E+000	-4,9990316E+004	0,000000000000000E+000	1,916744119410156E+004	2,8465815E+001
0	1,410000066971406E+003	0,000000000000000E+000	3,1543505E+000	-4,9993078E+004	0,000000000000000E+000	1,958411921297092E+004	2,8505342E+001
0	1,440000068396330E+003	0,000000000000000E+000	3,1535628E+000	-4,9996227E+004	0,000000000000000E+000	2,000079729780382E+004	2,8442099E+001
0	1,470000069821253E+003	0,000000000000000E+000	3,1534445E+000	-5,0005684E+004	0,000000000000000E+000	2,041747504921224E+004	2,8355139E+001
0	1,500000071246177E+003	0,000000000000000E+000	3,1530507E+000	-4,9996031E+004	0,000000000000000E+000	2,083415256824869E+004	2,8529058E+001
0	1,530000072671101E+003	0,000000000000000E+000	3,1523418E+000	-4,9987949E+004	0,000000000000000E+000	2,125083020928168E+004	2,8584398E+001
0	1,560000074096024E+003	0,000000000000000E+000	3,1518691E+000	-5,0002535E+004	0,000000000000000E+000	2,166750815334201E+004	2,8505342E+001
0	1,590000075520948E+003	0,000000000000000E+000	3,1511209E+000	-5,0006672E+004	0,000000000000000E+000	2,208418501643663E+004	2,8307705E+001
0	1,620000076945871E+003	0,000000000000000E+000	3,1506481E+000	-5,0004500E+004	0,000000000000000E+000	2,250086180418620E+004	2,8505342E+001
0	1,650000078370795E+003	0,000000000000000E+000	3,1502938E+000	-4,9988941E+004	0,000000000000000E+000	2,291753803104817E+004	2,8291895E+001
0	1,680000079795718E+003	0,000000000000000E+000	3,1498210E+000	-4,9991895E+004	0,000000000000000E+000	2,333421513673394E+004	2,8394665E+001
