Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	2,9977529E+000	-4,9987168E+004	0,000000000000000E+000	0,000000000000000E+000	1,1105395E+001
0	3,000000142492354E+001	0,000000000000000E+000	2,8587213E+000	-5,0002141E+004	0,000000000000000E+000	4,166892833246528E+002	1,2156823E+001
0	6,000000284984708E+001	0,000000000000000E+000	2,8218956E+000	-5,0005883E+004	0,000000000000000E+000	8,333765569943575E+002	1,2971087E+001
0	9,000000427477062E+001	0,000000000000000E+000	2,7862122E+000	-5,0000957E+004	0,000000000000000E+000	1,250063030874566E+003	1,3603526E+001
0	1,200000056996942E+002	0,000000000000000E+000	2,7480474E+000	-4,9999773E+004	0,000000000000000E+000	1,666748860553385E+003	1,4386168E+001
0	1,500000071246177E+002	0,000000000000000E+000	2,7036598E+000	-5,0000168E+004	0,000000000000000E+000	2,083433195479601E+003	1,4457316E+001
0	1,800000085495412E+002	0,000000000000000E+000	2,6506860E+000	-5,0008250E+004	0,000000000000000E+000	2,500115738187934E+003	1,4836779E+001
0	2,100000099744648E+002	0,000000000000000E+000	2,5811701E+000	-4,9995047E+004	0,000000000000000E+000	2,916798351569010E+003	1,5018606E+001
0	2,356960111949593E+002	0,000000000000000E+000	2,4999175E+000	-4,9994457E+004	0,000000000000000E+000	3,273700725243055E+003	1,5374352E+001
0	2,356980111950543E+002	0,000000000000000E+000	2,5001931E+000	-5,0000758E+004	0,000000000000000E+000	3,273728503441840E+003	1,5374352E+001
1	2,357000111951493E+002	1,000000000000000E+000	2,6905837E+000	2,9927137E+004	1,662618706597222E-002	0,000000000000000E+000	1,5374352E+001
1	2,657000126200728E+002	1,000000000000000E+000	3,0023215E+000	3,0000025E+004	2,499908417111545E+002	0,000000000000000E+000	1,4884212E+001
1	2,957000140449964E+002	1,000000000000000E+000	3,0553741E+000	2,9998055E+004	4,999668507638889E+002	0,000000000000000E+000	1,4884212E+001
1	3,257000154699199E+002	1,000000000000000E+000	3,0921605E+000	2,9997664E+004	7,499441550238716E+002	0,000000000000000E+000	1,4813064E+001
1	3,557000168948434E+002	1,000000000000000E+000	3,1217391E+000	2,9995889E+004	9,999221049121095E+002	0,000000000000000E+000	1,4647048E+001
1	3,857000183197670E+002	1,000000000000000E+000	3,1473398E+000	2,9997662E+004	1,249900992659505E+003	0,000000000000000E+000	1,4496844E+001
1	4,157000197446905E+002	1,000000000000000E+000	3,1699078E+000	2,9997268E+004	1,499880486649306E+003	0,000000000000000E+000	1,4378262E+001
1	4,457000211696140E+002	1,000000000000000E+000	3,1905065E+000	2,9997465E+004	1,749860086674262E+003	0,000000000000000E+000	1,4378262E+001
